Date...Hour,RH.high,Tair.high,u,Net S,Net L,Previous Snow,Snow depth
11/27/2012 13:00,28.08,-5.796,4.296,450.65,-121.85,-0.005,-0.005
11/27/2012 13:30,27.96,-5.771,3.77,419.4,-121.02,-0.005,-0.005
11/27/2012 14:00,30.89,-6.001,4.908,382.01,-117.85,-0.005,-0.005
11/27/2012 14:30,30.84,-6.066,5.257,334.06,-115.61,-0.005,-0.005
11/27/2012 15:00,31.57,-6.104,5.331,277.23,-111.48,-0.005,-0.005
11/27/2012 15:30,26.2,-6.666,4.263,39.807,-107.9,-0.005,-0.004
11/27/2012 16:00,21.21,-7.028,3.889,2.916,-102.7,-0.004,-0.004
11/27/2012 17:00,20.37,-6.92,4.353,0.4532,-98.73,-0.004,-0.005
11/27/2012 17:30,19.95,-7.548,2.053,0,-99.79,-0.005,-0.005
11/27/2012 18:00,23.45,-8.08,2.546,0,-99.15,-0.005,-0.006
11/27/2012 18:30,21.34,-8.48,1.595,0,-98.06,-0.006,-0.003
11/27/2012 19:00,20.83,-8.91,1.209,0,-96.19,-0.003,-0.004
11/27/2012 19:30,23.79,-9.41,1.812,0,-94.78,-0.004,-0.002
11/27/2012 20:00,21.28,-8.72,3.359,0,-95.48,-0.002,-0.005
11/27/2012 20:30,23.23,-8.26,5.22,0,-94.51,-0.005,-0.006
11/27/2012 21:00,22.09,-8.15,4.646,0,-92.61,-0.006,-0.008
11/27/2012 21:30,22.38,-8.64,3.844,0,-93.38,-0.008,-0.004
11/27/2012 22:00,22.54,-8.69,4.639,0,-94.26,-0.004,-0.006
11/27/2012 22:30,21.27,-8.87,3.252,0,-92.84,-0.006,-0.006
11/27/2012 23:00,18.44,-9.29,1.884,0,-92.72,-0.006,-0.006
11/27/2012 23:30,16.46,-8.82,3.465,0,-93.5,-0.006,-0.003
11/28/2012 0:00,14.58,-8.36,2.782,0,-96.32,-0.003,-0.004
11/28/2012 0:30,15.39,-8.76,1.85,0,-92.76,-0.004,-0.004
11/28/2012 1:00,19.57,-9.91,1.128,0,-90.48,-0.004,-0.006
11/28/2012 1:30,23.16,-10.55,1.783,0,-90.96,-0.006,-0.007
11/28/2012 2:00,23.36,-9.62,2.445,0,-87.55,-0.007,-0.004
11/28/2012 2:30,19.98,-9.38,2.554,0,-90.94,-0.004,-0.002
11/28/2012 3:00,20.96,-9.41,2.317,0,-89.67,-0.002,-0.005
11/28/2012 3:30,22.67,-10.03,2.443,0,-88.24,-0.005,-0.007
11/28/2012 4:00,23.47,-10.46,2.438,0,-88.39,-0.007,-0.007
11/28/2012 4:30,20.87,-9.97,2.495,0,-88.25,-0.007,-0.004
11/28/2012 5:00,18.49,-9.32,2.11,0,-90.54,-0.004,-0.002
11/28/2012 5:30,16.7,-9.19,2.368,0,-89.53,-0.002,-0.004
